Model,MSE,SSIM,BLEU,ROUGE
Baseline,0.0784493736253025,0.127318307652734,0.00303955971011766,0.17583349224307
ResNet,0.0781209341595681,0.121549407062068,0.00187122769872535,0.168903855253524
ResNet + Contrast (unstable),0.0782341964208008,0.124885071069002,0.00262613505772813,0.168411813773439
ResNet + Contrast (stable),0.0791982390991087,0.131609129855472,0.00518996596464071,0.171353882651809
